date,open,high,low,close,volume,log_return
2025-04-08,521.86,524.98,489.16,496.48,165816600,-0.015786751533991002
2025-04-09,493.44,548.62,493.05,548.62,241867300,0.09986283357347388
2025-04-10,532.17,533.5,509.32,524.58,162331200,-0.04480809185268924
2025-04-11,523.01,536.43,520.07,533.94,97866300,0.017685530675971325
2025-04-14,544.05,544.28,533.86,539.12,68034000,0.009654707541135678
2025-04-15,539.67,543.23,536.81,537.61,56892900,-0.002804790411545598
2025-04-16,531.68,537.89,520.29,525.66,83484800,-0.02247877432008865
2025-04-17,527.64,531.17,523.91,526.41,79868100,0.0014257608848264034
2025-04-21,521.16,521.7,508.46,513.88,69368100,-0.02409060162774479
2025-04-22,520.14,529.3,519.19,527.25,75948100,0.025685044195475088
2025-04-23,540.43,545.43,533.88,535.42,90590700,0.015376666278090485
2025-04-24,536.72,547.43,535.45,546.69,64150400,0.02083042852909907
2025-04-25,546.65,551.05,543.69,550.64,61119600,0.007199323924035108
2025-04-28,551.39,553.55,545.02,550.85,47613800,0.0003813016959653287
2025-04-29,548.91,555.45,548.55,554.32,47775100,0.0062795975330518445
2025-04-30,547.57,556.52,541.52,554.54,93101500,0.00039680392995782374
2025-05-01,560.37,564.07,557.86,558.47,63186100,0.007061960508589742
2025-05-02,564.73,568.38,562.38,566.76,60717300,0.014735031938352542
2025-05-05,562.57,566.65,561.7,563.51,38659200,-0.005750854144731125
2025-05-06,557.93,563.35,556.96,558.8,48264700,-0.008393452168488195
2025-05-07,560.15,563.82,556.04,561.15,55588000,0.004196622079458141
2025-05-08,565.24,570.31,561.7,565.06,65130800,0.0069436707361845195
2025-05-09,566.48,567.5,562.76,564.34,37603400,-0.0012750134541162756
2025-05-12,581.47,583.0,577.04,582.99,78993600,0.03251312680038858
2025-05-13,583.41,589.08,582.84,586.84,67947200,0.006582176726721667
2025-05-14,587.81,588.98,585.54,587.59,66283500,0.0012772155036144656
2025-05-15,585.56,590.97,585.1,590.46,71268100,0.004872468363891485
2025-05-16,591.25,594.5,589.28,594.2,76052100,0.0063140688895582265
2025-05-19,588.1,595.54,588.1,594.85,68168500,0.0010933098940278192
2025-05-20,593.09,594.05,589.6,592.85,60614500,-0.0033678570184555085
2025-05-21,588.44,592.58,581.82,582.86,95197700,-0.016994395612415697
2025-05-22,582.66,586.62,581.41,583.09,70860400,0.0003945280723588758
2025-05-23,575.98,581.81,575.6,579.11,76029000,-0.0068491061066177856
2025-05-27,586.07,591.31,578.43,591.15,72588500,0.020577350051717586
2025-05-28,591.56,592.77,586.99,587.73,68445500,-0.005802133541071826
2025-05-29,593.06,593.2,586.07,590.05,69973300,0.003939620303707172
2025-05-30,588.93,591.13,583.24,589.39,90601200,-0.0011191753186094886
